Point,Test,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region,fW,current,ind,Rd,Cs,Rs
150,ECE740_tb_channel_CTLE_ML_1,,-0.01972,-35.47,-30.29,-6.58,-41.48,-32.96,-9.072,-43.82,-35.11,-13.13,-47.4,-38.75,-18.83,-51.77,-43.57,0,0,0,1,2,0.00000221,0.002224,2.281E-09,883.6,7.668E-13,283.5
151,ECE740_tb_channel_CTLE_ML_1,,-0.01977,-53.61,-49.94,-6.585,-40.11,-35.57,-9.08,-38.42,-32.19,-13.15,-40.59,-32.29,-18.86,-46.51,-39.71,0,0,0,1,2,0.000003355,0.002471,4.184E-10,1224,2.92E-14,884.1
152,ECE740_tb_channel_CTLE_ML_1,,-0.01954,-39.4,-27.97,-6.604,-49.71,-39.87,-9.111,-55.57,-50.16,-13.17,-62,-62.28,-18.86,-68.62,-74.75,0,0,0,1,2,0.000009609,0.002089,1.833E-09,744.6,5.931E-13,105
153,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-23.05,-46.12,-6.573,-13.07,-19.63,-9.068,-7.962,-7.025,-13.17,-5.521,1.805,-18.9,-14.36,-9.433,0,0,0,2,2,0.000005586,0.00193,2.694E-09,43.26,2.887E-13,902.3
154,ECE740_tb_channel_CTLE_ML_1,,-0.0196,-46.89,-37.87,-6.594,-57.66,-44.72,-9.106,-58.23,-49.09,-13.17,-60.62,-56.82,-18.87,-65.62,-67.72,0,0,0,1,2,0.000007373,0.001661,1.204E-10,1146,7.184E-13,363.1
155,ECE740_tb_channel_CTLE_ML_1,,-0.01963,2.112,4.242,-6.588,-4.825,-3.023,-9.096,-8.264,-7.313,-13.17,-14.75,-16.12,-18.88,-24.62,-30.17,0,0,0,2,2,0.000006257,0.001938,2.262E-10,153.5,3.217E-13,19.13
156,ECE740_tb_channel_CTLE_ML_1,,-0.01967,-8.383,-16.67,-6.581,-10.67,-14.66,-9.098,-9.694,-9.856,-13.18,-16.08,-18.28,-18.87,-26.96,-34.44,0,0,0,2,2,0.000009264,0.002346,8.077E-10,171.9,9.935E-14,633
157,ECE740_tb_channel_CTLE_ML_1,,-0.01968,-33.28,-33.19,-6.582,-37.62,-26.99,-9.081,-40.22,-29.29,-13.15,-44.77,-35.37,-18.87,-51.57,-45.78,0,0,0,1,2,0.000003922,0.001712,1.479E-09,813.8,3.277E-13,1038
158,ECE740_tb_channel_CTLE_ML_1,,-0.01971,-5.866,-11.68,-6.581,-12.25,-17.86,-9.076,-14.3,-19.41,-13.15,-17.46,-21.4,-18.87,-23.54,-27.58,0,0,0,2,2,0.000006044,0.0007391,4.257E-10,495.8,9.111E-15,1374
159,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-1.591,-3.2,-6.579,-5.664,-4.809,-9.07,-7.393,-5.796,-13.13,-10.25,-7.515,-18.83,-13.36,-8.127,0,0,0,2,2,0.000002566,0.0007661,2.204E-09,305,6.216E-13,185.1
160,ECE740_tb_channel_CTLE_ML_1,,-0.01964,0.3835,2.449,-6.584,-5.409,-2.384,-9.094,-7.211,-2.946,-13.18,-12.63,-8.811,-18.89,-22.16,-21.87,0,0,0,2,2,0.000005699,0.002328,1.267E-09,266.4,1.985E-13,151.9
