test_id,success,mse_error,mae_error,max_error,optimization_iterations,optimization_function_calls,eye_metrics_sum,eye_metrics_avg,eye_metrics_min,eye_metrics_max,desired_stage 1 3.5G attenuation,desired_stage 2 3.5G attenuation,desired_stage 1 7G attenuation,desired_stage 2 7G attenuation,desired_stage 1 14G attenuation,desired_stage 2 14G attenuation,desired_stage 1 28G attenuation,desired_stage 2 28G attenuation,predicted_stage 1 3.5G attenuation,predicted_stage 2 3.5G attenuation,predicted_stage 1 7G attenuation,predicted_stage 2 7G attenuation,predicted_stage 1 14G attenuation,predicted_stage 2 14G attenuation,predicted_stage 1 28G attenuation,predicted_stage 2 28G attenuation,fW,current,ind,Rd,Cs,Rs,constant_channel 0.1G attenuation,constant_channel 3.5G attenuation,constant_channel 7G attenuation,constant_channel 14G attenuation,constant_channel 28G attenuation,constant_Stage 1 Region,constant_stage 1 0.1G attenuation,constant_stage 2 0.1G attenuation,constant_Hard Constraint of neg2 on 0.1G Status,failure_reason,test_type,predicted_eye_maxHeight Vout_1 7G,predicted_eye_maxWidth Vout_1 7G,predicted_eye_maxHeight Vout_2 7G,predicted_eye_maxWidth Vout_2 7G,predicted_eye_maxHeight Vout_1 14G,predicted_eye_maxWidth Vout_1 14G,predicted_eye_maxHeight Vout_2 14G,predicted_eye_maxWidth Vout_2 14G,predicted_eye_maxHeight Vout_1 28G,predicted_eye_maxWidth Vout_1 28G,predicted_eye_maxHeight Vout_2 28G,predicted_eye_maxWidth Vout_2 28G,predicted_eye_maxHeight Vout_1 56G,predicted_eye_maxWidth Vout_1 56G,predicted_eye_maxHeight Vout_2 56G,predicted_eye_maxWidth Vout_2 56G
11,True,345.7523997669398,16.77523454120018,32.67505818155254,4.0,357.0,-3.344075288741648,-0.209004705546353,-0.7711268963625385,0.016912441355932933,-21.215036870401043,-15.002144887551903,-10.363220046285804,-33.03746305046144,-19.131669366831286,-17.63244881758846,-17.82636373827378,-3.438604572174441,-0.42094993844375517,-0.3839989566349447,-0.46975194406746335,-0.36240486890890294,-0.4817370402575049,-0.36794864049510567,-0.5200096342041877,-0.43827399695485236,1.0786213995790423e-05,0.0019149354442106238,7.811291258657323e-11,1648.997,3.5263792689953246e-14,130.69659314080275,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
12,False,,,,,,,,,,-10.140955783737521,-18.33929957302475,-29.70843053929755,-15.49134040798669,-23.055866223996933,-38.470990057203174,-18.053378870958145,-10.939054949485923,,,,,,,,,,,,,,,,,,,,,,,,Inequality constraints incompatible,,,,,,,,,,,,,,,,,
13,True,648.4879523813196,24.173939133627144,32.41305952119724,0.0,7.0,-0.4357150543450986,-0.027232190896568663,-0.48738485524248765,0.7811054824134519,-27.536553264180395,-26.998481400747607,-32.733292202719234,-32.00529443425187,-19.91603613348662,-29.711391958072483,-7.920348014539673,-17.91706294463206,-0.2924800631154215,0.04872589633716065,-0.3202326815219937,-0.007722227221980705,-0.31010823402005033,-0.039225842681538635,-0.3116244621297453,-0.11427966925924955,4.286206260299919e-06,0.0014128637669661161,2.629946698667196e-09,1353.4487181514337,3.6399940580349233e-13,1637.6611279374977,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
14,True,576.7783777238282,23.02165170073825,31.75948566791505,3.0,70.0,-4.166010963698745,-0.26037568523117155,-1.3588226681128628,0.24776450672049652,-20.173849679264265,-26.962953692972814,-32.1588810592874,-31.311198928674198,-28.201257915403417,-20.17992971960905,-15.039644810827456,-12.99157537498874,-0.35734256764938344,-0.3394552456914062,-0.3993953913723503,-0.29701922294664246,-0.3978555441556217,-0.3080051655217329,-0.3872543005018252,-0.3597501372823791,1.09e-05,0.0025534863577312598,0.0,1539.2378180081996,0.0,1266.8398981059725,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
15,False,,,,,,,,,,-12.481809087105905,-27.453162870961165,-34.974461793263394,-27.309223711907503,-39.947126026373745,-31.387672656924313,-17.115868114462685,-7.708494852766629,,,,,,,,,,,,,,,,,,,,,,,,Inequality constraints incompatible,,,,,,,,,,,,,,,,,
16,True,369.11372583601155,18.066877982657104,33.88175919130476,0.0,7.0,-2.321124258883078,-0.14507026618019236,-0.6514733783751063,0.35283581467173974,-21.410889677995883,-15.173677441949724,-34.20046317427124,-17.07364984642158,-14.810394443701927,-14.71356307114402,-11.578474209578943,-17.459345296417577,-0.30286547674216197,-0.23491164841149786,-0.3187039829664808,-0.20135469855716825,-0.2974295860022806,-0.1316216603604209,-0.27407367823889783,-0.12447256894515704,4.812419694545097e-06,0.0016667238942909774,1.899955822019818e-09,1188.634185620238,1.8388620590502664e-15,1556.5203163044941,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
17,True,194.35882460897216,13.08793808489079,17.769014787890963,3.0,70.0,-3.1390408718949594,-0.19619005449343496,-0.7520699000008686,0.16046778751023158,-18.10758617353364,-15.230613124162128,-17.221228332253375,-9.44320213418333,-16.7245192482959,-17.750023366633048,-5.343651839189855,-7.590391527913509,-0.3385713856426774,-0.3084260407666867,-0.38468329725552,-0.28706687213144993,-0.37926367214750223,-0.29221482750921335,-0.37387450380737364,-0.34361046777804,1.09e-05,0.00183623515714789,9.93727325491355e-11,1323.1941829540756,0.0,959.264958916417,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
18,False,,,,,,,,,,-7.966602134059862,-21.773649921002427,-25.030310495233095,-32.531551821018475,-33.90171543577628,-23.449022374818643,-1.4360450196766799,-0.9800630690483665,,,,,,,,,,,,,,,,,,,,,,,,Inequality constraints incompatible,,,,,,,,,,,,,,,,,
19,True,364.0941501275171,17.519815330494026,28.196463538387537,0.0,7.0,-3.9695760057063927,-0.24809850035664954,-0.9937146531387065,1.1908759900000053e-10,-15.997759867171323,-17.800219549519284,-28.598887308358098,-26.247707373842232,-17.264474616980877,-22.502575442216894,-5.028033108703628,-9.207809866758247,-0.3389671719854357,-0.056016141003690546,-0.4024237699705624,-0.14510117575648573,-0.43197017635012563,-0.27225455328874376,-0.46393825586797044,-0.378273245375373,9.928240782070206e-06,0.002658078243239083,2.720141842772846e-09,1587.6746846024553,4.745529565855034e-13,1230.401260521817,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
20,True,434.8571867377773,18.800798857591275,39.3768907773171,2.0,455.0,0.7514081499720492,0.046963009373253074,-0.6358552733506823,0.9194487484261292,-11.212696370709768,-23.769137157623216,-20.63770211769767,-18.707292880134222,-39.53339990344669,-14.201021234860907,-9.712497263244714,-13.170828296497257,-0.07394300906330793,0.10201933042396595,-0.10292664849499637,0.022937739778095215,-0.1565091261295937,-0.04199009308922721,-0.16940233034554042,-0.1183702265636433,9.820221580693248e-06,0.0005311492696542538,1.5555247785444808e-09,303.56244402940615,7.809541623114511e-13,561.9271862742903,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
